GalaxyID,Class1.1,Class1.2,Class1.3,Class2.1,Class2.2,Class3.1,Class3.2,Class4.1,Class4.2,Class5.1,Class5.2,Class5.3,Class5.4,Class6.1,Class6.2,Class7.1,Class7.2,Class7.3,Class8.1,Class8.2,Class8.3,Class8.4,Class8.5,Class8.6,Class8.7,Class9.1,Class9.2,Class9.3,Class10.1,Class10.2,Class10.3,Class11.1,Class11.2,Class11.3,Class11.4,Class11.5,Class11.6
0001,0.044319,0.952063,0.003618,0.952063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102519,0.897481,0.0,0.0,0.044319,0.02562975,0.02562975,0.0,0.0,0.02562975,0.0,0.02562975,0.647800802,0.071866476,0.232395722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0002,0.313819,0.676161,0.010021,0.1352322,0.5409288,0.0,0.5409288,0.187546506,0.353382294,0.0,0.248942466,0.291986334,0.0,0.0,1.0,0.0,0.158812185,0.155006815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1352322,0.0,0.0,0.187546506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187546506
0003,0.139781,0.842153,0.018066,0.0,0.842153,0.276535254,0.565617746,0.731414933,0.110738067,0.074794134,0.456916005,0.259004155,0.051438705,0.121391,0.878609,0.0,0.136578198,0.003202802,0.0,0.0,0.04491467,0.0,0.07647633,0.0,0.0,0.0,0.0,0.0,0.560781681,0.09808128,0.072551241,0.062650078,0.320469453,0.0,0.0,0.0,0.348295403
0004,0.304001,0.695999,0.0,0.079453158,0.616545842,0.152186943,0.4643589,0.246384666,0.370161176,0.0,0.616545842,0.0,0.0,0.040448,0.959552,0.0,0.240922009,0.063078991,0.0,0.0,0.040448,0.0,0.0,0.0,0.0,0.079453158,0.0,0.0,0.246384666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246384666
0005,0.771738,0.177112,0.051151,0.0,0.177112,0.0,0.177112,0.0,0.177112,0.0,0.0,0.177112,0.0,0.044048,0.955952,0.717822068,0.053915932,0.0,0.0,0.0,0.0,0.0,0.0,0.044048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0006,0.727213,0.230991,0.041796,0.0,0.230991,0.0,0.230991,0.0,0.230991,0.0,0.0,0.0,0.230991,0.081047,0.918953,0.617495466,0.109717534,0.0,0.0,0.0,0.0,0.0,0.081047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0007,0.140435,0.843567,0.015998,0.0,0.843567,0.048861088,0.794705912,0.648496349,0.195070651,0.089182747,0.596864987,0.073003975,0.084514447,0.285866,0.714134,0.127448554,0.012986446,0.0,0.025987792,0.025987792,0.051975584,0.025987792,0.077963377,0.077963377,0.0,0.0,0.0,0.0,0.444371747,0.18078003,0.023344572,0.124231149,0.174752257,0.0,0.0,0.0,0.349512944
0008,0.217051,0.782949,0.0,0.052457583,0.730491417,0.119704168,0.610787249,0.702070918,0.028420499,0.0,0.502218693,0.171405428,0.056868026,0.10065,0.89935,0.066645292,0.150405708,0.0,0.0754875,0.0,0.0,0.0,0.0,0.0251625,0.0,0.052457583,0.0,0.0,0.351035459,0.32154848,0.029486979,0.029457492,0.175342212,0.204799703,0.029457492,0.058213614,0.204799703
0009,0.081056,0.885601,0.033343,0.0,0.885601,0.758980426,0.126620574,0.482013141,0.403587859,0.344120637,0.191786638,0.349693724,0.0,0.220778,0.779222,0.016130144,0.064925856,0.0,0.0,0.03753226,0.0,0.109947444,0.073298296,0.0,0.0,0.0,0.0,0.0,0.0,0.340329716,0.141683425,0.0,0.433784834,0.0,0.0,0.0,0.048228307
0010,0.116387,0.878702,0.004911,0.811098183,0.067603817,0.067603817,0.0,0.0,0.067603817,0.0,0.031103502,0.036500315,0.0,0.248538,0.751462,0.0,0.0,0.116387,0.022616958,0.0,0.0,0.022616958,0.158070168,0.022616958,0.022616958,0.405549091,0.050288087,0.355261004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
